rank,root_domain,domain_analysis,linking_root_domains,domain_authority
1,www.google.com,View analysis,"13,384,833",100
2,apple.com,View analysis,"6,110,073",100
3,youtube.com,View analysis,"20,954,414",100
4,linkedin.com,View analysis,"10,823,836",99
5,microsoft.com,View analysis,"4,958,838",99
6,play.google.com,View analysis,"3,639,072",99
7,support.google.com,View analysis,"4,901,224",99
8,www.blogger.com,View analysis,"27,257,732",99
9,docs.google.com,View analysis,"2,931,151",98
10,cloudflare.com,View analysis,"5,896,577",98
11,wordpress.org,View analysis,"11,274,508",98
12,maps.google.com,View analysis,"4,773,123",98
13,en.wikipedia.org,View analysis,"6,628,294",98
14,mozilla.org,View analysis,"2,168,179",98
15,youtu.be,View analysis,"4,730,268",98
16,googleusercontent.com,View analysis,"2,519,179",97
17,europa.eu,View analysis,"1,966,182",97
18,plus.google.com,View analysis,"11,679,766",97
19,sites.google.com,View analysis,"2,018,268",97
20,drive.google.com,View analysis,"2,173,436",97
21,adobe.com,View analysis,"2,809,429",97
22,accounts.google.com,View analysis,"2,538,165",97
23,whatsapp.com,View analysis,"2,599,405",97
24,github.com,View analysis,"2,509,231",96
25,facebook.com,View analysis,"55,352,992",96
26,bp.blogspot.com,View analysis,"16,843,831",96
27,vimeo.com,View analysis,"3,437,323",96
28,uol.com.br,View analysis,"648,126",96
29,amazon.com,View analysis,"4,718,890",96
30,es.wikipedia.org,View analysis,"913,938",96
31,vk.com,View analysis,"1,692,548",96
32,istockphoto.com,View analysis,"3,333,120",96
33,t.me,View analysis,"821,298",96
34,dropbox.com,View analysis,"1,041,077",95
35,jimdofree.com,View analysis,"1,696,504",95
36,google.de,View analysis,"1,117,794",95
37,line.me,View analysis,"736,825",95
38,theguardian.com,View analysis,"1,491,510",95
39,mail.google.com,View analysis,"474,521",95
40,terra.com.br,View analysis,"201,561",95
41,www.yahoo.com,View analysis,"1,265,271",95
42,w3.org,View analysis,"1,122,409",95
43,msn.com,View analysis,"1,074,572",95
44,live.com,View analysis,"835,964",95
45,slideshare.net,View analysis,"978,622",95
46,paypal.com,View analysis,"1,045,442",95
47,mail.ru,View analysis,"482,883",95
48,www.weebly.com,View analysis,"4,586,239",95
49,youronlinechoices.com,View analysis,"547,173",95
50,files.wordpress.com,View analysis,"6,910,026",95
51,google.es,View analysis,"464,421",95
52,netvibes.com,View analysis,"1,188,695",95
53,wikimedia.org,View analysis,"1,735,762",95
54,creativecommons.org,View analysis,"1,675,048",95
55,who.int,View analysis,"1,944,473",95
56,globo.com,View analysis,"430,184",95
57,dailymotion.com,View analysis,"1,119,263",95
58,google.co.jp,View analysis,"645,258",95
59,brandbucket.com,View analysis,"11,128,984",95
60,myspace.com,View analysis,"1,370,878",95
61,imdb.com,View analysis,"1,443,754",95
62,news.google.com,View analysis,"741,264",95
63,opera.com,View analysis,"851,663",95
64,reuters.com,View analysis,"863,314",95
65,nih.gov,View analysis,"1,281,731",95
66,bbc.co.uk,View analysis,"1,664,336",95
67,cnn.com,View analysis,"1,501,011",95
68,bbc.com,View analysis,"814,549",95
69,gstatic.com,View analysis,"606,511",95
70,google.com.br,View analysis,"291,267",95
71,pt.wikipedia.org,View analysis,"400,935",95
72,medium.com,View analysis,"1,480,653",95
73,fr.wikipedia.org,View analysis,"607,647",95
74,nytimes.com,View analysis,"2,072,580",95
75,developers.google.com,View analysis,"1,025,702",95
76,forbes.com,View analysis,"1,386,566",95
77,tools.google.com,View analysis,"1,617,136",95
78,policies.google.com,View analysis,"1,864,858",95
79,feedburner.com,View analysis,"1,767,367",95
80,wa.me,View analysis,"829,199",94
81,time.com,View analysis,"757,955",94
82,bloomberg.com,View analysis,"800,162",94
83,draft.blogger.com,View analysis,"10,079,701",94
84,aboutads.info,View analysis,"544,783",94
85,wikia.com,View analysis,"506,946",94
86,ok.ru,View analysis,"347,439",94
87,rakuten.co.jp,View analysis,"588,922",94
88,huffpost.com,View analysis,"1,134,521",94
89,abril.com.br,View analysis,"258,192",94
90,amazon.de,View analysis,"533,940",94
91,buydomains.com,View analysis,"1,093,844",94
92,books.google.com,View analysis,"410,882",94
93,photos.google.com,View analysis,"276,730",94
94,twitter.com,View analysis,"56,926,138",94
95,independent.co.uk,View analysis,"669,247",94
96,nasa.gov,View analysis,"639,614",94
97,aliexpress.com,View analysis,"473,083",94
98,goo.gl,View analysis,"4,457,039",94
99,samsung.com,View analysis,"342,257",94
100,booking.com,View analysis,"375,691",94
101,amazon.co.jp,View analysis,"805,327",94
102,hugedomains.com,View analysis,"7,539,714",94
103,pinterest.com,View analysis,"8,212,822",94
104,telegraph.co.uk,View analysis,"928,662",94
105,mediafire.com,View analysis,"827,415",94
106,myaccount.google.com,View analysis,"319,996",94
107,cdc.gov,View analysis,"806,211",94
108,tinyurl.com,View analysis,"1,375,996",94
109,huffingtonpost.com,View analysis,"1,056,188",94
110,change.org,View analysis,"467,795",94
111,google.ru,View analysis,"194,082",94
112,bit.ly,View analysis,"4,636,722",94
113,foxnews.com,View analysis,"538,269",94
114,google.fr,View analysis,"407,744",94
115,washingtonpost.com,View analysis,"1,073,792",94
116,ebay.com,View analysis,"927,557",94
117,de.wikipedia.org,View analysis,"648,159",94
118,telegram.me,View analysis,"318,203",94
119,thesun.co.uk,View analysis,"337,750",94
120,www.gov.uk,View analysis,"575,832",94
121,it.wikipedia.org,View analysis,"324,393",94
122,amazon.co.uk,View analysis,"745,101",94
123,amazon.es,View analysis,"178,729",94
124,nature.com,View analysis,"537,797",94
125,networkadvertising.org,View analysis,"704,151",94
126,google.co.uk,View analysis,"586,554",94
127,get.google.com,View analysis,"739,328",94
128,wp.com,View analysis,"1,323,190",94
129,4shared.com,View analysis,"544,573",94
130,wired.com,View analysis,"631,840",94
131,estadao.com.br,View analysis,"124,338",94
132,businessinsider.com,View analysis,"719,165",94
133,android.com,View analysis,"290,189",94
134,t.co,View analysis,"2,019,335",94
135,search.google.com,View analysis,"1,191,920",94
136,cpanel.net,View analysis,"1,493,686",94
137,news.yahoo.com,View analysis,"657,299",94
138,cnet.com,View analysis,"655,941",94
139,cpanel.com,View analysis,"1,404,336",94
140,ig.com.br,View analysis,"150,302",94
141,google.pl,View analysis,"210,595",94
142,gravatar.com,View analysis,"10,877,454",94
143,dailymail.co.uk,View analysis,"987,420",94
144,soundcloud.com,View analysis,"1,762,139",94
145,issuu.com,View analysis,"939,532",94
146,fb.com,View analysis,"416,596",94
147,wsj.com,View analysis,"934,382",94
148,abcnews.go.com,View analysis,"551,216",94
149,usatoday.com,View analysis,"788,833",94
150,scribd.com,View analysis,"741,167",94
151,un.org,View analysis,"528,059",94
152,marketingplatform.google....,View analysis,"817,065",94
153,elmundo.es,View analysis,"229,341",94
154,mirror.co.uk,View analysis,"340,867",94
155,picasaweb.google.com,View analysis,"640,380",94
156,harvard.edu,View analysis,"693,914",94
157,ru.wikipedia.org,View analysis,"368,361",94
158,archive.org,View analysis,"1,066,677",94
159,enable-javascript.com,View analysis,"6,599,598",94
160,google.it,View analysis,"432,417",94
161,fandom.com,View analysis,"539,344",94
162,plesk.com,View analysis,"699,872",94
163,elpais.com,View analysis,"398,598",94
164,namecheap.com,View analysis,"1,101,606",94
165,forms.gle,View analysis,"579,668",94
166,office.com,View analysis,"429,632",94
167,list-manage.com,View analysis,"749,904",94
168,dan.com,View analysis,"2,205,756",94
169,repubblica.it,View analysis,"194,670",93
170,news.com.au,View analysis,"292,432",93
171,disqus.com,View analysis,"914,537",93
172,loc.gov,View analysis,"431,401",93
173,express.co.uk,View analysis,"293,724",93
174,ja.wikipedia.org,View analysis,"340,742",93
175,php.net,View analysis,"633,599",93
176,biglobe.ne.jp,View analysis,"227,790",93
177,hollywoodreporter.com,View analysis,"257,067",93
178,aol.com,View analysis,"690,864",93
179,lg.com,View analysis,"127,409",93
180,clickbank.net,View analysis,"467,631",93
181,lemonde.fr,View analysis,"255,329",93
182,outlook.com,View analysis,"286,541",93
183,sedoparking.com,View analysis,"1,288,038",93
184,engadget.com,View analysis,"432,420",93
185,storage.googleapis.com,View analysis,"685,071",93
186,netflix.com,View analysis,"314,023",93
187,abc.net.au,View analysis,"386,906",93
188,ign.com,View analysis,"277,180",93
189,imageshack.us,View analysis,"812,736",93
190,smh.com.au,View analysis,"298,459",93
191,imageshack.com,View analysis,"450,695",93
192,themeforest.net,View analysis,"516,779",93
193,picasa.google.com,View analysis,"254,253",93
194,lefigaro.fr,View analysis,"212,552",93
195,mega.nz,View analysis,"171,370",93
196,fb.me,View analysis,"301,080",93
197,arxiv.org,View analysis,"218,121",93
198,bitly.com,View analysis,"392,829",93
199,deezer.com,View analysis,"149,043",93
200,pbs.org,View analysis,"507,156",93
201,sciencemag.org,View analysis,"318,516",93
202,walmart.com,View analysis,"310,462",93
203,sciencedirect.com,View analysis,"550,369",93
204,bandcamp.com,View analysis,"580,029",93
205,discord.gg,View analysis,"249,358",93
206,m.wikipedia.org,View analysis,"291,992",93
207,search.yahoo.com,View analysis,"455,147",93
208,amazon.fr,View analysis,"246,915",93
209,yelp.com,View analysis,"893,651",93
210,mit.edu,View analysis,"655,719",93
211,pl.wikipedia.org,View analysis,"143,067",93
212,nbcnews.com,View analysis,"653,311",93
213,stackoverflow.com,View analysis,"339,662",93
214,tmz.com,View analysis,"206,391",93
215,skype.com,View analysis,"425,864",93
216,welt.de,View analysis,"218,729",93
217,oup.com,View analysis,"368,734",93
218,www.wix.com,View analysis,"716,168",93
219,cbsnews.com,View analysis,"508,872",93
220,ietf.org,View analysis,"369,881",93
221,gnu.org,View analysis,"574,606",93
222,disney.com,View analysis,"236,540",93
223,hp.com,View analysis,"444,729",93
224,eventbrite.com,View analysis,"608,506",93
225,francetvinfo.fr,View analysis,"145,157",93
226,secureserver.net,View analysis,"1,036,047",93
227,ria.ru,View analysis,"174,544",93
228,photos1.blogger.com,View analysis,"855,788",93
229,guardian.co.uk,View analysis,"609,463",93
230,wikihow.com,View analysis,"483,013",93
231,stanford.edu,View analysis,"593,831",93
232,rambler.ru,View analysis,"223,814",93
233,zoom.us,View analysis,"542,572",93
234,techcrunch.com,View analysis,"465,014",93
235,twitch.tv,View analysis,"395,854",93
236,buzzfeed.com,View analysis,"549,311",93
237,berkeley.edu,View analysis,"451,547",93
